latitude,longtitude,time
55.747410,38.035042,13335700
55.747395,38.035004,13340200
55.747414,38.034943,13340700
55.747429,38.034897,13341200
55.747478,38.034824,13341700
55.747540,38.034760,13342200
55.747551,38.034721,13342800
55.747555,38.034687,13343300
55.747601,38.034473,13343800
55.747616,38.034237,13344300
55.747585,38.034119,13344800
55.747543,38.034000,13345300
55.747528,38.033787,13345800
55.747551,38.033577,13350300
55.747555,38.033401,13350800
55.747547,38.033257,13351300
55.747566,38.033031,13351800
55.747608,38.032887,13352300
55.747654,38.032845,13352800
55.747738,38.032806,13353300
55.747810,38.032768,13353800
55.747925,38.032658,13354300
55.748104,38.032547,13354800
55.748234,38.032494,13355300
55.748341,38.032356,13355800
55.748394,38.032162,13360300
55.748417,38.031960,13360800
55.748478,38.031776,13361300
55.748505,38.031551,13361800
55.748543,38.031315,13362300
55.748566,38.031139,13362800
55.748581,38.030975,13363300
55.748604,38.030827,13363800
55.748608,38.030670,13364400
55.748631,38.030392,13364900
55.748638,38.030060,13365400
55.748619,38.029758,13365900
55.748631,38.029488,13370400
55.748680,38.029289,13370900
55.748699,38.029053,13371400
55.748707,38.028831,13371900
55.748734,38.028576,13372400
55.748749,38.028278,13372900
55.748734,38.027645,13373400
55.748726,38.027081,13373900
55.748714,38.026642,13374400
55.748688,38.026249,13374900
55.748672,38.025948,13375400
55.748669,38.025673,13375900
55.748642,38.025375,13380400
55.748627,38.025188,13380900
55.748623,38.025028,13381400
55.748631,38.024719,13381900
55.748608,38.024345,13382400
55.748596,38.023994,13382900
55.748596,38.023777,13383400
55.748589,38.023598,13383900
55.748573,38.023262,13384400
55.748547,38.022800,13384900
55.748524,38.022488,13385400
55.748497,38.022312,13390000
55.748482,38.021954,13390500
55.748451,38.021675,13391000
55.748425,38.021374,13391500
55.748440,38.021065,13392000
55.748417,38.020771,13392500
55.748409,38.020508,13393000
55.748405,38.020294,13393500
55.748421,38.020088,13394000
55.748413,38.019897,13394500
55.748379,38.019714,13395000
55.748348,38.019623,13395500
55.748329,38.019463,13400000
55.748325,38.019325,13400500
55.748337,38.019154,13401000
55.748325,38.018784,13401500
55.748306,38.018360,13402000
55.748291,38.018028,13402500
55.748272,38.017731,13403000
55.748241,38.017590,13403500
55.748230,38.017464,13404000
55.748219,38.017220,13404500
55.748199,38.016876,13405000
55.748180,38.016499,13405500
55.748180,38.016266,13410000
55.748158,38.016087,13410500
55.748169,38.015911,13411000
55.748318,38.015804,13411600
55.748463,38.015724,13412100
55.748508,38.015366,13412600
55.748482,38.015133,13413100
55.748451,38.014900,13413600
55.748444,38.014687,13414100
55.748550,38.014568,13414600
55.748676,38.014530,13415100
55.748817,38.014511,13415600
55.748951,38.014488,13420100
55.749016,38.014465,13420600
55.749043,38.014465,13421100
55.749073,38.014458,13421600
55.749084,38.014458,13422100
55.749096,38.014462,13422600
55.749111,38.014469,13423100
55.749115,38.014473,13423600
55.749111,38.014473,13424100
55.749115,38.014492,13424600
55.749123,38.014492,13425100
55.749123,38.014492,13425600
55.749115,38.014488,13430100
55.749111,38.014488,13430600
55.749104,38.014484,13431100
55.749104,38.014481,13431600
55.749092,38.014439,13432100
55.749100,38.014423,13432600
55.749104,38.014416,13433100
55.749104,38.014408,13433700
55.749107,38.014408,13434200
55.749104,38.014408,13434700
55.749100,38.014408,13435200
55.749096,38.014412,13435700
55.749096,38.014412,13440200
55.749084,38.014393,13440700
55.749081,38.014305,13441200
55.749069,38.014210,13441700
55.749054,38.014103,13442200
55.749035,38.014053,13442700
55.749035,38.014042,13443200
55.749027,38.014030,13443700
55.749031,38.014027,13444200
55.749039,38.014034,13444700
55.749039,38.014034,13445200
55.749046,38.014019,13445700
55.748993,38.013943,13450200
55.748936,38.013824,13450700
55.748917,38.013752,13451200
55.748920,38.013687,13451700
55.748978,38.013660,13452200
55.749012,38.013630,13452700
55.749050,38.013622,13453200
55.749001,38.013653,13453700
55.749039,38.013664,13454200
55.749001,38.013676,13454700
55.749050,38.013660,13455300
55.749119,38.013622,13455800
55.749043,38.013687,13460300
55.749027,38.013725,13460800
55.749107,38.013821,13461300
55.749123,38.013885,13461800
55.749142,38.013908,13462300
55.749130,38.013958,13462800
55.749168,38.014011,13463300
55.749096,38.014015,13463800
55.749123,38.014015,13464300
55.749062,38.014004,13464800
55.749062,38.014011,13465300
55.749107,38.014023,13465800
55.749084,38.014011,13470300
55.749050,38.014034,13470800
55.749023,38.014038,13471300
55.748997,38.014046,13471800
55.748985,38.014034,13472300
55.748959,38.013943,13472800
55.748947,38.013916,13473300
55.748951,38.013939,13473800
55.748936,38.013905,13474300
55.748936,38.013878,13474800
55.748924,38.013901,13475300
55.748894,38.013844,13475800
55.748875,38.013855,13480300
55.748848,38.013878,13480800
55.748840,38.013935,13481400
55.748840,38.013905,13481900
55.748844,38.013916,13482400
55.748856,38.013931,13482900
55.748859,38.013966,13483400
55.748878,38.013962,13483900
55.748856,38.013966,13484400
55.748886,38.013992,13484900
55.748878,38.013985,13485400
55.748875,38.013981,13485900
55.748875,38.013981,13490400
55.748878,38.013981,13490900
55.748898,38.013966,13491400
55.748924,38.013950,13491900
55.748947,38.013943,13492400
55.748940,38.013939,13492900
55.748932,38.013950,13493400
55.748932,38.013950,13493900
55.748951,38.013939,13494400
55.748970,38.013931,13494900
55.748985,38.013931,13495400
55.748993,38.013920,13495900
55.749016,38.013905,13500400
55.749035,38.013905,13500900
55.749023,38.013908,13501400
55.749027,38.013905,13501900
55.749023,38.013901,13502400
55.749039,38.013889,13502900
55.749058,38.013882,13503500
55.749092,38.013882,13504000
55.749107,38.013885,13504500
55.749126,38.013885,13505000
55.749126,38.013893,13505500
